id,radio_id,start_time,airtime,location.x,location.y,tx_power,code_rate,spreading_factor,bandwidth,crc_enabled,preamble_len,fixed_len,iq_inverted,symbols,payload
120,2,60000.079999999994,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
121,1,61000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
122,2,61000.079999999994,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
123,1,62000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
124,2,62000.079999999994,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
125,1,63000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
126,2,63000.079999999994,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
127,1,64000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
128,2,64000.079999999994,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
129,1,65000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
130,2,65000.079999999994,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
131,1,66000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
132,2,66000.08,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
133,1,67000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
134,2,67000.08,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
135,1,68000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
136,2,68000.08,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
137,1,69000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
138,2,69000.08,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
